,Featurename,mz,RT,Average.coef.across models,%.models.present,platfrom,compound_id,compound_name,kegg_id,formula,monoisotopic_mass,adduct,adduct_type,adduct_m.z,delta.ppm.
18,0.51_93.0431m/z,93.0431,0.51,-0.111659159,100,sLPOS,HMDB0158555,"2H-Purin-2-one, 1,3-dihydro-6-(hydroxyamino)-",n/a,C5H5N5O2,167.0443244,M+H+NH4,+,93.042712,4
19,0.51_93.0431m/z,93.0431,0.51,-0.111659159,100,sLPOS,HMDB0160079,6-(hydroxyamino)-9H-purin-8-ol,n/a,C5H5N5O2,167.0443244,M+H+NH4,+,93.042712,4
20,0.51_93.0431m/z,93.0431,0.51,-0.111659159,100,sLPOS,HMDB0000401,"2,8-Dihydroxyadenine",n/a,C5H5N5O2,167.0443244,M+H+NH4,+,93.042712,4
21,0.51_93.0431m/z,93.0431,0.51,-0.111659159,100,sLPOS,HMDB0002032,8-Hydroxyguanine,C20155,C5H5N5O2,167.0443244,M+H+NH4,+,93.042712,4
141,2.46_127.0477m/z,127.0477,2.46,0.138713377,100,uRPOS,HMDB0002006,"2,3-Diaminopropionic acid",C03401,C3H8N2O2,104.0585775,M+Na,+,127.047796,1
466,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0000557,L-Alloisoleucine,n/a,C6H13NO2,131.0946287,M+Na,+,154.083847,4
467,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0145163,2-hydroxy-3-(propylamino)propanal,n/a,C6H13NO2,131.0946287,M+Na,+,154.083847,4
468,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0001645,L-Norleucine,C01933,C6H13NO2,131.0946287,M+Na,+,154.083847,4
469,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0171680,SCHEMBL10311743,n/a,C6H13NO2,131.0946287,M+Na,+,154.083847,4
470,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0060650,N-(2-Hydroxyethyl)-morpholine,n/a,C6H13NO2,131.0946287,M+Na,+,154.083847,4
471,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0144645,"N,N-Diethylglycine",C16647,C6H13NO2,131.0946287,M+Na,+,154.083847,4
472,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0003640,Beta-Leucine,C02486,C6H13NO2,131.0946287,M+Na,+,154.083847,4
473,1.49_154.0844m/z,154.0844,1.49,-0.131317747,100,uRPOS,HMDB0171682,N-(2-methylpropyl)glycolamide,n/a,C6H13NO2,131.0946287,M+Na,+,154.083847,4
